index,prompt,Subject,Style,Mood,Lighting,Environment,Color,Element Value,Composition,Repeating term,Negative prompt,Collective Noun
172,"A highly detailed epic cinematic concept art cg render digital painting artwork: tokyo city market. by greg rutkowski,?in the style of francis bacon and syd mead and norman rockwell and beksinski,?open ceiling,?highly detailed,?painted by francis bacon and edward hopper,?painted by james gilleard,?surrealism,?airbrush,?ilya kuvshinov,?wlop,?stanley artgerm,?very coherent,?triadic color scheme,?art by takato yamamoto and james jean",1,1,0,0,1,1,1,0,0,0,0
173,"A human skull floating in deep dark murky water!!!,?underwater atmospheric moody,?dark surreal mood! cinematic volumetric lights,?bust portrait,?dnd,?fantasy,?intricate,?elegant,?highly detailed,?digital painting,?artstation,?concept art,?smooth,?sharp focus,?illustration,?art by artgerm and tom bagshaw and greg rutkowski and alphonse mucha",1,1,1,1,1,0,1,1,0,0,0
174,"Beautiful meadow at sunrise,?thin morning fog hovering close to the ground,?symmetry,?intricate details,?raphael lacoste,?eddie mendoza,?alex ross,?concept art,?matte painting,?highly detailed,?rule of thirds,?dynamic lighting,?cinematic,?detailed,?denoised,?centerd,?clean render",1,1,1,1,1,0,1,1,1,0,0
175,"A beautiful painting of pripyat by greg rutkowski and zdzis?aw beksinski and rene magritte,?in style of digital art. hyper detailed,?sharp focus,?soft light. unreal engine 5. ray tracing. trending on artstation",1,1,1,1,0,0,1,0,0,0,0
176,"Post apocalyptic shopping center,?raining,?building,?avenue,?modern contemporary urban americana concrete architecture,?paved roads,?by thomas kinkade,?pascal blanche,?greg rutkowski,?shaddy safadi,?neil blevins trending on artstation,?photorealistic,?neon ambiance,?ultra detailed,?high definition,?depth of field,?bokeh,?wild vegetation,?blood stains,?crumbling,?post - apocalyptic warriors",1,1,1,1,1,0,1,1,0,0,0
177,Fallout concept art school interior render grim realistic lighting unreal engine 5,1,1,1,1,0,0,0,0,0,0,0
178,"Vampires fighting in a party in the interior of gothic dark castle,?red pool fountain,?louis xv furniture,?torch lighting",1,1,0,1,1,1,0,0,0,0,0
179,"A vast indoor growing operation on the edge of space,?in a massive cavernous iron city,?dappled light,?tudor architecture,?flags,?colossal arcing metal structures high in the cavernous metal interior,?sci - fi,?beautiful,?awe inspiring,?by james gurney,?greg rutkowski,?sparth,?thomas kinkaide,?cinematography,?cinematic masterpiece",1,1,1,1,1,0,0,1,0,0,0
180,"Steampunk greenhouse interior,?colorful,?3 d scene,?render,?greg rutkowski,?zabrocki,?karlkka,?jayison devadas,?trending on artstation,?8 k,?ultra wide angle,?zenith view,?pincushion lens effect",1,1,0,0,0,1,1,1,0,0,0
181,"Portrait of a blue genasi tempest priest by greg rutkowski,?d&d character,?gradient white to cyan,?blue ocean,?highly detailed portrait,?digital painting,?artstation,?concept art,?smooth,?sharp foccus ilustration,?artstation hq",1,1,0,0,0,1,1,1,0,0,0
182,"A portrait of a rough male farmer in world war 2,?1 9 4 0 setting,?vivid colors,?soft lighting,?atmospheric,?cinematic,?moody,?in the style of ilya kuvshinov and range murata,?krenz cushart,?rule of thirds,?oil on canvas,?8 k",1,1,1,1,1,1,1,1,0,0,0
183,"a portrait of a mafia boss in a golden suit,?d&d sci-fi,?artstation,?concept art,?highly detailed illustration.¡±",1,1,0,0,0,0,1,0,0,0,0
184,"4 k wolf portrait,?ferns,?butterflies,?character concept art,?oilpainting,?cinematic lighting,?trending in artstation,?cgsociety",1,1,0,1,1,0,1,0,0,0,0
185,"Portrait of a knight,?holding a sword,?victorian,?concept art,?detailed face,?fantasy,?close up face,?highly detailed,?cinematic lighting,?digital art painting by greg rutkowski",1,1,0,1,0,0,1,1,0,0,0
186,"Winterfell walls gate,?lanscape,?calm feeling,?green grass,?clouded,?beautiful,?clean colors,?by marc simonetti",1,1,1,1,0,1,1,0,0,0,0
187,"Dream fantasy in little european town,?magic,?lanscape,?modern,?night,?dusk,?neon lights,?perspective,?street view,?art by makoto shinkai",0,1,1,1,1,0,0,1,0,0,0
188,"A gigantic paleolothic torus made of stone with highly detailed carvings of intricate shamanic robotic electronics and circuitry,?in a mediterranean lanscape,?inside a valley overlooking the sea,?in the style of andreas rocha",1,1,0,0,1,0,1,0,0,0,0
189,"Cinematic silk road lanscape,?rocket ship,?space station,?science fiction scene,?epic lighting,?cinematic compositon,?hyperrealistic",1,1,0,1,1,0,0,1,0,0,0
190,"Interior of an alien spaceship,?highly detailed,?digital artwork,?octane render",1,1,0,0,1,0,0,0,0,0,0
191,"Halo 3 interiors,?beautiful lighting,?vivid colors,?intricate,?elegant,?smooth,?sharp focus,?highly detailed digital painting,?concept art,?cinematic,?unreal engine,?4 k wallpaper,?art by syd mead,?terada katsuya,?atey ghailan,?svetlin velinov,?cgsociety,?artstation trending",1,1,0,1,0,1,1,0,0,0,0
192,"Futuristic city center with 890j maglev train in background,?modern landscape architectural design for brutalist industrialpunk black and white concrete and glass,?train with maroon,?white and teal metallic accents,?gorgeous lighting,?golden hour,?cyberpunk,?2077,?dramatic lighting and composition,?photography,?8k,?origin 100i,?star citizen concept art,?single line,?golden ratio,?artstation,?trending on artstation,?minimalistic composition,?side profile,?tokyo,?jr sc maglev,?tgv,?eurostar",1,1,0,1,0,1,1,1,0,0,0
193,"A potrait of a space fanstasy cat,?fine details. night setting. realistic shaded lighting poster by ilya kuvshinov katsuhiro,?artgerm,?jeremy lipkin and michael garmash,?unreal engine,?radiant light,?detailed and intricate environment,?digital art,?trending on art station",1,1,0,1,1,0,1,0,0,0,0
194,"An interstellar cat in a spacesuit,?cinematic,?4k,?digital art,?award winning",1,1,0,0,0,0,1,0,0,0,0
195,"5 5 mm portrait photo of an armored demonic undead deer with antlers,?in a magical forest looking at the camera. dark atmosphere. art by greg rutkowski and luis royo. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0.",1,1,1,1,1,0,1,1,0,0,1
196,Whale spaceship flying near a red dwarf star,1,0,0,0,1,0,0,0,0,0,0
197,"A fancy portrait of a monstrous frog covered in blue flames by greg rutkowski,?sung choi,?mitchell mohrhauser,?maciej kuciara,?johnson ting,?maxim verehin,?peter konig,?bloodborne,?8k photorealistic,?cinematic lighting,?hd,?high details,?atmospheric,?trending on artstation",1,1,1,1,0,1,1,0,0,0,0
198,"Vicious dog with three heads,?glowing eyes and matted fur,?sinister portrait,?highly detailed,?digital painting,?artstation,?concept art,?matte,?sharp focus,?illustration,?dramatic,?cinematic sunset,?hearthstone,?art by artgerm and greg rutkowski and alphonse mucha",1,1,1,1,0,0,1,0,0,0,0
199,"A golden tiger resting,?dragon body,?highly detailed face,?close-up,?fantasy art,?monster art,?in the style of greg rutkowski,?illustration,?epic,?fantasy,?intricate,?hyper detailed,?artstation,?concept art,?smooth,?sharp focus,?ray tracing",1,1,1,1,0,0,1,1,0,0,0
200,"Anthropomorphic torus brain in edgy darkiron camel,?intricate,?elegant,?highly detailed animal monster,?digital painting,?artstation,?concept art,?smooth,?sharp focus,?illustration,?art by artgerm,?dwayne barlowe,?trending on artstation and greg rutkowski and alphonse mucha,?8 k",1,1,0,0,0,0,1,0,0,0,0
201,"An isolated apple tree,?3 d render,?art nouveau style,?ultra realistic,?masked transparent flat background,?popular on sketchfab,?pixelsquid,?8 k,?volumetric lighting,?super focused,?no blur,?trending on artstation,?octane render,?ultra detailed,?hyperrealistic,?by artgerm and alphonse mucha",1,1,0,1,1,0,1,0,0,0,0
202,"Steampunk helmet fantasy art mask robot ninja stylized digital illustration sharp focus,?elegant intricate digital painting artstation concept art global illumination ray tracing advanced technology chaykin howard and campionpascale and cooke darwyn and davis jack",1,1,0,1,0,0,1,0,0,0,0
203,"Photorealistic heaven made of fruit basket,?detailed,?centered,?digital painting,?artstation,?concept art,?donato giancola,?joseph christian leyendecker,?wlop,?boris vallejo,?breathtaking,?8 k resolution,?extremely detailed,?beautiful,?establishing shot,?artistic,?hyperrealistic,?beautiful face,?octane render,?cinematic lighting,?dramatic lighting,?masterpiece`",1,1,1,1,0,0,1,1,0,0,0
204,"Wrc rally car stylized,?design 3 dmax vray maya pixar unreal 5,?hyperrealistic,?octane render,?dynamic lighting,?intricate detail,?harvest fall vibrancy,?cinematic beeple,?by thomas kinkade global illumination ray tracing hdr,?art gta 5 cover,?official fanart behance hd artstation by jesper ejsing,?by rhads,?makoto shinkai and lois van baarle,?ilya kuvshinov,?ossdraws,?that looks like it is from borderlands and by feng zhu and loish and laurie greasley,?victo ngai,?andreas rocha,?john harris",1,1,0,1,0,1,1,0,0,0,0
205,"American phone booth with antenna in the woods,?hyper realism,?cinematic,?volumetric lighting,?octane render,?unreal engine,?8 k,?concept art,?digital art,?deviantart artstation",1,1,0,1,1,0,1,0,0,0,0
206,"depiction of the beginning of the universe inside a snow globe,?surreal,?award winning,?highly detailed,?style by mark rogers,?paul bonner,?oil on canvas. ¡±",1,1,0,0,0,0,1,0,0,0,0
207,"Blue flame captured in a bottle,?4 k,?photography,?highly detailed",1,1,0,0,0,1,1,0,0,0,0
208,"a set of cute girl designer toy , in pixar style, stylized style , minimalist , --ar 16:9",1,1,0,0,0,0,1,0,0,0,1
209,"map of a fictional world, highly detailed",0,1,0,0,1,0,1,0,0,0,0
210,"a film still of a black man starring in a japanese blockbuster film as samurai, futuristic, shallow depth of field, cinematic, award winning cgi, vfx, film still ",1,1,0,0,0,0,0,1,0,0,1
211,"wooden tukutuku panel, geometric design, wooden panelling, sharp lines, equilateral triangles",1,1,0,0,0,0,1,0,0,0,0
212,"a beautiful sunset in pastel colors on a tropical beach, oil painting",1,1,1,0,1,1,0,0,0,0,0
213,"a painting of a person standing in a room full of clocks, all of which are stopped at different times.",1,1,0,0,1,0,0,0,1,0,0
214,"vibrant ultra clear submarine in a shape of fish by laurie greasley rene magritte gustave dore, low contrast, cinematic dramatic lighting, hyper realistic detailed intricate render, hypermaximalist, ornate, epic composition, 4 k 8 k, octane blender, sharp focus, concept art, masterpiece award winning ",1,1,0,1,0,1,1,1,0,0,0
215,"brutalist temple, beach shore, backlit rimlight, black golden, crowd crowds of people, rave party windows, glitch screens --ar 16:9",1,0,0,1,1,1,1,1,1,0,1
216,"cold foggy morning in the field, alien plants by simon stÃ¥lenhag",0,1,1,0,1,0,0,0,0,0,0
217,"portrait of a rococo princess, ezekiel inks, tom bagshaw, featured on artstation",1,1,0,0,0,0,0,0,0,0,0
218,"''mechanical steampunk banana mech in solarpunk world, concept art' upscaled''",1,1,0,0,1,0,1,0,0,0,0
219,2010 offbrand modern futuristic mp3 player,1,1,0,0,0,0,0,0,0,0,0
220,benjamin netanyahu in fifa,1,0,0,0,1,0,0,0,0,0,0
221,"an image that is heavily blurred and obscured, making it difficult to make out any details",0,1,0,0,0,0,0,0,0,1,0
222,"portrait mortuary demon wraith skelebrain mindlayer. fantasy art effigy. creepy portrait of a dungeon landscape. brad rigney, pete mohrbacher, daniel conway, clint clearley, greg staples, scott m fischer, stephan matiniere",1,1,1,0,1,0,0,0,0,0,0
223,an orchid mantis drinking from a drop of dew,1,0,0,0,0,0,0,0,0,0,1
224,adorable ruby bunny creature ,1,0,1,0,0,0,0,0,0,0,0
225,"in the streets of miami in the style of gtav, full - frame of tommy vercetti, wearing a hawaiian - shirt, as a character from gtav, looking at camera ",1,1,0,0,1,0,1,1,0,0,0
226,"photo body building chihuahua , extreme muscles ¡ªar 4:5",1,1,0,0,0,0,1,1,0,0,0
227,"makise kurisu, digital art, 4k",1,1,0,0,0,0,1,0,0,0,0
228,"film still of emma watson inside avocado!!! skin in the new scifi movie, 4 k by iris van herpen ",1,1,0,0,1,0,1,0,0,0,0
229,"1 0 0 0 0 people at the beach wearing purple swimsuits, using yellow and green umbrellas, edward burtynsky photograph ",1,1,0,0,1,1,0,0,0,0,1
230,"dalmatian with saxophone, in tuxedo with top hat, medieval portrait, low poly, close up ",1,1,0,0,0,0,0,1,0,0,0
231,the mafia boss meeting in the council chamber,1,0,0,0,1,0,0,0,0,0,0
232,"robotic micky mouse head, overgrown, twisted vines, a flower meadow, iridescent, beeple ",1,1,0,0,0,0,0,0,0,0,1
233,red velvet underwear,1,0,0,0,0,1,0,0,0,0,0
234,"masterpiece modern religious artwork of the oracle veku the radiant one surrounded by a group of adoring fans, all reaching out to touch him.",1,1,0,0,0,0,0,1,0,0,1
235,"baja california bay in the style of hudson river school of art, oil on canvas ",0,1,0,0,1,0,0,0,0,0,0
236,junji ito minion,1,0,0,0,0,0,0,0,0,0,0
237,"a wwii soviet propaganda poster advertising an android smartphone by rei kamoi and dan mumford and robin eley, communist hammer and sickle ",1,1,0,0,0,0,0,0,0,0,0
238,a painting with dark colors that makes the viewer feel uneasy,0,1,1,0,0,1,0,0,0,0,0
239,"majestic princess of thunder, anime portrait, style of duelyst, by ilya kuvshinov, anton fadeev, nicola salvior, kyoto animation",1,1,1,0,0,0,0,0,0,0,0
240,"yearning shinzo abe, painting inspired by ghibli studio, rossdraws and hayao miyazaki --h 856 --w 1640",1,1,1,0,0,0,1,0,0,0,0
241,white fox steampunk portrait,1,1,0,0,0,1,0,0,0,0,0
242,"mysterious figure in striking cloak walking through sandstorm in desolate desert, buried city, global illumination, hyper-realistic, insanely detailed and intricate, cinematic 8k",1,1,0,1,1,0,1,0,0,0,0
243,brutalist glacier,1,1,0,0,0,0,0,0,0,0,0
244,a beautiful sunrise or sunset: the colors of the sky are so beautiful and the air is so fresh.,1,0,1,0,1,1,0,0,0,0,0
245,blue gradient color with bayer dithering,0,1,0,0,0,1,0,0,0,0,0
246,"character study of mike patton and adolf hitler dressed as a homeless, clear, evil, glasses, character sheet, fine details, concept design, contrast, kim jung gi, da vinci and pixar, trending on artstation, 8 k, full body and head, turnaround, front view, back view, ultra wide angle ",1,1,1,0,0,1,1,1,0,0,0
247,and round his heart one strangling golden hair by frederick stevens and william rosetti and james collison,1,1,0,0,0,1,0,0,0,0,1
248,"an ultra realistic, cinematic, fantasy, portrait, of a sad man / ork, lord of the rings, soft light, facial features, stood in a forest, with victorian clothing, detailed, deep focus, movie still, dramatic lighting, ray tracing, by michal karcz and yoshitaka amano ",1,1,1,1,1,0,1,1,0,0,0
249,"""ukiyo-e surfing cloaked woman with black hood and black clothing"". by studio ghibli and akira toriyama",1,1,0,0,0,1,0,0,0,0,0
250,an abstract art painting depicting loneliness ,0,1,1,0,0,0,0,0,0,0,0
251,"depiths creature below, cgsociety, artstation, rendered, 4k illustration",1,1,0,0,0,0,1,0,0,0,0
252,artists depiction of a space station as imagined by wernher von braun,1,1,0,0,0,0,0,0,0,0,1
253,complex pattern organic cotton in the style of tappestry highly detailed,1,1,0,0,0,0,1,0,0,0,0
254,claudio sanchez as an angel deity looking down on world,1,1,0,0,0,0,0,0,0,0,0
255,"giant imposing seraphim with many eyes and many wings, eyes everywhere, hyper realistic, glowing, terrifying, artstation ",1,1,1,0,0,0,0,0,1,0,1
256,"a painting of a creature made entirely of metal. the creature is skeletal in appearance, and it has red eyes that glow with an inner fire.",1,1,1,0,0,0,1,0,0,0,0
257,tapestry of final fantasy,0,1,0,0,0,0,0,0,0,0,0
258,"a fox looks out across  the blossoming valley at sunrise. peaceful pastel palette, beautiful matte painting. trending on artstation",1,1,1,1,1,1,0,0,0,0,0
259,"utopian arcology, detailed digital art by howard arkley, anton fadeev and john conrad berkey",1,1,0,0,0,0,1,0,0,0,0
260,cactus | totoro | dreamlike | pastel | upscaled,1,0,1,0,0,0,1,0,0,0,0
261,"photorealistic gritty kite shaped ancient space station made of black iron stone with faded red ascents, in dark outer space, dark space background, 8k octane render, matte painting --ar 16:9 --seed 1234",1,1,0,0,1,1,1,0,0,0,0
262,balance libra,1,0,0,0,0,0,0,1,0,0,0
263,"die cut sticker, vegan designer toy, vegan art toy, vegan animal",1,1,0,0,0,0,0,0,1,0,0
264,"giant easter island head house underwater, 35mm photography, ¡ªar 9:15",1,1,0,0,1,0,1,0,0,0,0
265,"a person, their eyes glowing with excitement. the person is full of energy and life, and their eyes are shining with excitement. they are ready to take on the world.",1,0,1,0,0,0,0,0,1,0,0
266,"lana del rey illustration by alphonse mucha, ultra-detailed, 2d",1,1,0,0,0,0,1,0,0,0,0
267,elaborate amazing detailed beautiful extravagant character,1,1,0,0,0,0,0,0,0,0,0
268,a busy street in dieselpunk detroit by asher brown durand and eddie mendoza featured on artstation,1,1,0,0,1,0,0,0,0,0,0
269,"portrait of holy superwoman, d&d, fantasy, highly detailed, digital painting, artstation, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",1,1,0,0,0,0,1,1,0,0,0
270,"aerial view, futuristic city, glass and ceramic, tall buildings, downtown, peaceful, mountains in the back, builtiful epic lighting --no dof --ar 16:9",1,1,1,1,1,0,1,1,0,1,0
271,"a citadel of hell creaks and groans as an inferno rages above and below with electric magma explosions, sailor moon, berserk, final fantasy, james jean, mucha, beksinski, barlowe --w 128 --h 256",1,1,1,0,0,0,1,1,0,0,0
272,"a detailed painting of a huge forest in spring, digital art by wylie beckert and eric fortune, highly detailed award-winning masterpiece with incredible and beautiful details, trending on artstation",1,1,0,0,1,0,1,0,0,0,1
273,"a giant statue of responsibility, standing in a city harbor",1,0,0,0,1,0,1,0,0,0,0
274,"a symmetrical portrait of a beautiful faye wong, an hybrid alien, battleship regents, humanoid, cyborg, heavy armor, cybernetics, robotics, energy weapons, advanced scanners, prometheus, alien, sci-fi, 4k, octane render, detailed, hyper-realistic, cinematic, moody, photography by joel meyerowitz, roger deakins, slim aarons, craig mullens, artstation, --ar 5:7",1,1,1,0,0,0,1,1,0,0,0
275,"photo of putin waving a gay pride flag, cinestill, 800t, 35mm, full-hd",1,1,0,0,0,0,1,0,0,0,0
276,sausage monster,1,0,0,0,0,0,0,0,0,0,0
277,"a dark humanoid creature holding a blade, anime art, a vast, dark cave ",1,1,1,0,1,0,0,0,0,0,0
278,"dripping mucus, turtle, african tribal pattern, fungi, crawling vessels, fish, jellyfish, alien snake, reptillian eyeballs, pupils, thorn, hybrid creature, crab legs, sharp teeth, 4k, octane render, houdini particles, high detailed, hyper-realistic, on mars, cinematic, epic, moody, photography by sarah morris, hellen van meene, izumi kato, craig mullens, artstation, nasa, lens dirt, --ar 16:9",1,1,1,0,1,0,1,0,0,0,0
279,"[ joe biden ] is agent smith, wearing a black suit and black tie, movie poster, the matrix movie, film still ",1,1,0,0,0,1,0,0,0,0,0
280,"hyperrealistic steampunk cybersorceress concept art character design, atmospheric lighting",1,1,1,1,0,0,0,0,0,0,0
281,prismatic glowing cavern made of gems and crystals,1,0,0,1,1,0,0,0,0,0,0
282,"zenyatta from overwatch, character portrait, portrait, close up, concept art, intricate details, highly detailed, horror poster, horror, vintage horror art, realistic, terrifying, in the style of michael whelan, beksinski, and gustave dore ",1,1,1,0,0,0,1,1,1,0,0
283,"3d watermelon,  by thomas kindkade, alphonse mucha, loish, beatriceblue and craig mullins, sparth, ross tran, rossdraws, artgerm, trending on artstation, --ar 3:3",1,1,0,0,0,0,1,1,1,0,0
284,"giant sculpture of the letter a in helvetic¡¯s font, outdoors wrapped in chicken wire surrounded by fog",1,1,0,0,1,0,0,0,0,0,0
285,"photorealistic painting: giant figure working on complex sphere in fabric by oskar schlemmer, oil on canvas, edward hopper vibe, melancholic setting with sideway point of view, realistic human with sad expression, pastel colors",1,1,1,0,0,1,1,1,0,0,0
286,"giant evil viktor orban standing above the people lying around his feet and smiling diabolicly, cinematic, apocalyptic, dark",1,0,1,0,0,0,0,1,0,0,0
287,"film still of lord nibbler in the new scifi movie, 4 k ",1,1,0,0,0,0,1,0,0,0,0
288,"snoop dogg holding a snake for a 1990s sitcom tv show, studio photograph, portrait, c 12.0",1,1,0,0,0,0,1,0,0,0,0
289,"deep sea diver, intricate oil painting by carl spitzweg ",1,1,0,0,0,0,0,0,0,0,0
290,an abstract organism machine by nadav kander ,1,1,0,0,0,0,0,0,0,0,0
291,<painting quality=very-low>a waterfall</painting>,1,0,0,0,0,0,1,0,0,0,0
292,"gnomish mafia, wearing tuxedos, looking badass, 4k digital illustration by artgerm, wlop, james jean, andrei riabovitchev, marc simonetti, yoshitaka amano, artstation, cgsociety",1,1,0,0,0,0,1,0,0,0,0
293,"mila jovovich , highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, artstation, art by artgerm and greg rutkowski and alphonse mucha and j. c. leyendecker and edmund blair leighton and katsuhiro otomo and geof darrow and phil hale and ashley wood and ilya repin and charlie bowater",1,1,0,0,0,0,1,1,1,0,0
294,dramatic matte painting of favela at night --wallpaper,1,1,1,1,0,0,1,0,0,0,0
295,"a beautiful scene in early spring showing lively sprigs, detailed digital art by ivan shishkin and hoard arkley",1,1,1,0,0,0,1,0,0,0,0
296,"an avant-garde experimental oil painting of a door that leads to an intergalactic room of mystery and despair, liminal space, film grain, esoteric, strange and loneliness",1,1,1,0,1,0,0,0,0,0,0
